title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,date,shortcode,domain,status,type,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Albula/Alvra,3542,True,18,267,0,0,1017
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Bergün/Bravuogn,3521,True,10,106,0,0,335
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Bivio,3531,True,2,41,0,0,130
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Cunter,3532,True,4,60,0,2,158
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Filisur,3522,True,3,128,3,0,318
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Lantsch/Lenz,3513,True,3,113,1,0,379
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Marmorera,3533,True,0,16,0,0,33
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Mulegns,3534,True,0,9,0,0,25
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Mutten,3503,True,2,24,0,0,57
Volksinitiative «Energie- statt Mehrwertsteuer»,Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,Iniziativa popolare  «Imposta sull'energia invece dell'IVA.»,Iniziativa dal pievel «Taglia sin l'energia empè da la taglia sin la plivalur»,2015-03-08,E2,federation,unknown,proposal,Albula,Riom-Parsonz,3536,True,0,69,0,0,258
