
1,1700,0.0162045,1,1579,0.0213247,1,1563,0.0219913,1,1788,0.0125083,1,1935,0.0062823,1,1587,0.0209915,1,713,0.0578932,1,1179,0.0382002,1,870,0.0512582,1,1886,0.0083879,1,1301,0.0330800,1,1332,0.0317772
2,1978,0.0044645,2,1639,0.0188101,2,1820,0.0111752,2,1805,0.0117963,2,1381,0.0297019,2,1877,0.0087666,2,1800,0.0120084,2,1662,0.0178103,2,595,0.0628619,2,1667,0.0176285,2,1707,0.0159470,2,1231,0.0360036
3,1782,0.0127507,3,1991,0.0039494,3,1799,0.0120539,3,1681,0.0170226,3,1493,0.0249604,3,1838,0.0104027,3,778,0.0551362,3,540,0.0651948,3,1032,0.0444413,3,989,0.0462289,3,1243,0.0355189,3,1647,0.0184617
4,1891,0.0081607,4,1801,0.0119781,4,1843,0.0101754,4,1258,0.0348978,4,781,0.0550150,4,1648,0.0184011,4,441,0.0693909,4,859,0.0517278,4,1759,0.0137353,4,1051,0.0436233,4,1431,0.0275811,4,1674,0.0173407
5,1656,0.0180981,5,1480,0.0255209,5,1935,0.0062823,5,1615,0.0198250,5,423,0.0701483,5,1635,0.0189464,5,916,0.0493192,5,1907,0.0074942,5,1775,0.0130688,5,1272,0.0342767,5,1971,0.0047977,5,1527,0.0235213
6,1677,0.0172044,6,1428,0.0277174,6,1520,0.0238242,6,1606,0.0201886,6,392,0.0714511,6,824,0.0531972,6,671,0.0596504,6,776,0.0552422,6,990,0.0461834,6,1323,0.0321256,6,1957,0.0053582,6,1466,0.0260965
7,1976,0.0045554,7,1930,0.0064944,7,1159,0.0390788,7,1838,0.0104027,7,706,0.0581810,7,1286,0.0336859,7,275,0.0764047,7,368,0.0724661,7,519,0.0661037,7,1453,0.0266722,7,1690,0.0166590,7,1479,0.0255512
8,1884,0.0084637,8,1772,0.0131900,8,1539,0.0230062,8,1954,0.0054794,8,829,0.0530002,8,1736,0.0147048,8,1061,0.0431840,8,450,0.0690122,8,633,0.0612713,8,1680,0.0170529,8,1650,0.0183405,8,1269,0.0344282
9,1987,0.0041009,9,1963,0.0051159,9,942,0.0482436,9,1846,0.0100694,9,1754,0.0139626,9,1417,0.0281870,9,729,0.0572115,9,1918,0.0070094,9,618,0.0619076,9,1907,0.0074639,9,1941,0.0060551,9,1292,0.0334435
10,1983,0.0042827,10,1663,0.0177951,10,758,0.0559996,10,703,0.0583174,10,1364,0.0304290,10,474,0.0679821,10,369,0.0724055,10,1282,0.0338677,10,700,0.0584234,10,1585,0.0210824,10,1817,0.0112813,10,1234,0.0359127
11,1947,0.0057975,11,1225,0.0362915,11,1123,0.0405936,11,834,0.0527730,11,1762,0.0135839,11,1789,0.0124780,11,1259,0.0348523,11,636,0.0611501,11,771,0.0554543,11,1651,0.0182799,11,1881,0.0085697,11,1671,0.0174316
12,1776,0.0130082,12,1737,0.0146443,12,1425,0.0278537,12,904,0.0498342,12,1974,0.0046462,12,1696,0.0163863,12,1868,0.0091151,12,1141,0.0398211,12,920,0.0491525,12,986,0.0463652,12,1533,0.0232637,12,1443,0.0270812
13,1794,0.0122356,13,1728,0.0150381,13,1730,0.0149624,13,1709,0.0158410,13,1949,0.0057066,13,1775,0.0130688,13,1688,0.0167347,13,368,0.0724812,13,640,0.0609835,13,1980,0.0044190,13,1985,0.0042069,13,1577,0.0214005
14,1977,0.0045099,14,1882,0.0085546,14,1542,0.0229002,14,1151,0.0393817,14,1747,0.0142201,14,1677,0.0171741,14,1600,0.0204310,14,396,0.0712693,14,726,0.0573479,14,1956,0.0054037,14,1841,0.0102663,14,1414,0.0282931
15,1562,0.0220367,15,1843,0.0101754,15,1483,0.0253694,15,1834,0.0105693,15,1004,0.0456229,15,1384,0.0295655,15,1152,0.0393515,15,760,0.0558936,15,1832,0.0106451,15,1533,0.0232637,15,1774,0.0130840,15,1511,0.0241878
16,1754,0.0139323,16,1825,0.0109480,16,1807,0.0116903,16,1611,0.0199917,16,1495,0.0248846,16,1949,0.0057066,16,367,0.0724964,16,690,0.0588476,16,1847,0.0100088,16,1308,0.0327619,16,1879,0.0086455,16,1747,0.0142352
17,1743,0.0144170,17,1884,0.0084637,17,719,0.0576508,17,1926,0.0066610,17,1245,0.0354280,17,1300,0.0330951,17,272,0.0765107,17,1160,0.0390333,17,1778,0.0129325,17,1997,0.0036616,17,1623,0.0194615,17,1536,0.0231274
18,1517,0.0239454,18,1456,0.0265207,18,634,0.0612410,18,1893,0.0080850,18,948,0.0479709,18,1446,0.0269448,18,285,0.0759502,18,1606,0.0202038,18,1968,0.0049189,18,1561,0.0220822,18,1987,0.0041009,18,1545,0.0227790
19,1810,0.0115691,19,1790,0.0124326,19,629,0.0614531,19,811,0.0537577,19,1817,0.0112964,19,1674,0.0173104,19,263,0.0768894,19,1336,0.0316106,19,1640,0.0187495,19,1803,0.0118721,19,1869,0.0090696,19,1817,0.0112964
20,1688,0.0167347,20,1824,0.0109783,20,1025,0.0447292,20,465,0.0683457,20,629,0.0614380,20,830,0.0529397,20,344,0.0734962,20,1900,0.0077971,20,1633,0.0190676,20,1349,0.0310349,20,1571,0.0216580,20,1941,0.0060399
21,1431,0.0275659,21,1120,0.0407148,21,1177,0.0382911,21,868,0.0513491,21,372,0.0722843,21,1858,0.0095544,21,1316,0.0324286,21,1117,0.0408360,21,1647,0.0184617,21,1642,0.0186586,21,2000,0.0035707,21,1658,0.0179769
22,1280,0.0339586,22,1431,0.0275811,22,963,0.0473499,22,1319,0.0323226,22,752,0.0562420,22,251,0.0773893,22,1725,0.0151593,22,476,0.0678912,22,988,0.0463046,22,1298,0.0331860,22,1783,0.0127204,22,1584,0.0211278
23,1515,0.0240212,23,1848,0.0099937,23,1492,0.0250210,23,1992,0.0038737,23,1953,0.0055249,23,200,0.0795556,23,1790,0.0124326,23,420,0.0702544,23,1333,0.0317166,23,1915,0.0071306,23,1974,0.0046462,23,1521,0.0237636
24,1740,0.0145382,24,1654,0.0181436,24,1087,0.0421236,24,1531,0.0233395,24,1486,0.0252785,24,505,0.0666945,24,1007,0.0454866,24,427,0.0699514,24,812,0.0536971,24,1628,0.0192645,24,1994,0.0037979,24,1776,0.0129931
25,1133,0.0401695,25,1933,0.0063732,25,1873,0.0089030,25,1290,0.0335496,25,932,0.0486375,25,1542,0.0228850,25,1194,0.0375942,25,501,0.0668308,25,786,0.0548332,25,1974,0.0046462,25,1995,0.0037676,25,1783,0.0127204
26,1328,0.0319438,26,1433,0.0275053,26,755,0.0561057,26,1730,0.0149472,26,858,0.0517732,26,1550,0.0225669,26,926,0.0488950,26,646,0.0607260,26,1033,0.0443808,26,1955,0.0054643,26,1860,0.0094786,26,1377,0.0298533
27,1707,0.0159470,27,1532,0.0233092,27,1674,0.0173104,27,909,0.0496373,27,735,0.0569540,27,709,0.0580598,27,1352,0.0309137,27,538,0.0653008,27,1343,0.0312773,27,1207,0.0370489,27,1774,0.0130840,27,1409,0.0285051
28,1874,0.0088878,28,1971,0.0047674,28,1608,0.0200977,28,1112,0.0410481,28,1174,0.0384274,28,347,0.0733447,28,840,0.0525458,28,675,0.0594838,28,808,0.0538789,28,1336,0.0315954,28,1575,0.0214914,28,1305,0.0328982
29,1337,0.0315348,29,2000,0.0035556,29,1336,0.0316106,29,624,0.0616500,29,1981,0.0043736,29,804,0.0540606,29,615,0.0620136,29,1488,0.0251725,29,739,0.0568177,29,1341,0.0313682,29,1581,0.0212641,29,1637,0.0189010
30,1556,0.0223094,,,,30,1594,0.0207037,30,1234,0.0359127,30,1818,0.0112358,30,1489,0.0251422,30,838,0.0526064,30,1343,0.0312925,30,867,0.0514097,30,1230,0.0360642,30,1289,0.0335647,30,1640,0.0187646
31,1882,0.0085394,,,,31,1444,0.0270509,,,,31,1615,0.0197947,,,,31,1740,0.0145231,31,896,0.0501826,,,,31,1458,0.0264449,,,,31,1633,0.0190373
