consumption,sun,rainfall,wind
1673310.19,0,0,7.35
1638862.016,0,0,6.3
1588359.234,0,0,5.75
1514415.352,0,0,7.75
1471712.33,0,0,7.2
1431536.951,0,0,6.3
1385895.469,0,0,6.65
1406997.834,13.5,0,6.65
1441048.044,32,0,7.55
1487993.125,60,0,6.65
1479956.72,60,0,6.65
1519027.661,58.5,0,6.3
1539846.634,30,0,6.3
1497230.388,30,0,6.65
1481338.922,22.5,0,9.2
1533013.831,0,0,7.2
1692397.942,0,0,8.1
1797118.113,0,0,7.2
1787388.954,0,0,6.5
1737143.522,0,0,7.05
1680063.329,0,0,6.65
1668392.868,0,0,6.65
1642753.945,0,0,7.35
1599180.324,0,0,7
1567333.074,0,0,8.25
1532480.305,0,0,7.05
1515166.3,0,0,7.55
1473612.253,0,0,7.35
1490997.573,0,0,7.35
1515153.548,0,0,5.75
1534285.496,0,0,5.25
1620075.74,0,0,4.85
1691062.584,8,0,5.25
1744240.603,40.5,0,7.35
1708925.673,30,0.1,12.05
1755519.831,29,0.1,12.6
1759509.665,0,0.1,10.25
1710728.321,0,0,11.5
1694855.505,0,0,7.35
1737306.741,0,0,3.4
1885077.863,0,0,4.1
1959843.21,0,0,6.3
1914999.774,0,0,5.75
1835471.923,0,0,6.65
1768285.528,0,0,5
1759373.917,0,0,7.4
1723287.54,0,0,7.2
1667399.937,0,0,6.15
1657629.366,0,0,10.45
1631765.429,0,0,10.65
1610948.454,0,0,5.8
1544936.686,0,0,5.95
1593920.264,0,0,4.5
1709131.783,0,0,4.3
1842775.922,0,0,3.95
1997611.21,13.5,0,4.3
2049684.589,32,0,5.95
2085532.441,60,0,5.8
2034169.8,60,0,6.3
2055493.863,59,0,6.3
2028696.663,30,0,7
2001717.447,30,0,6.5
1990521.119,23.5,0,8.45
2019223.703,0,0,6.65
2119669.024,0,0,4.35
2191582.925,0,0,5.75
2134523.299,0,0,6.3
2040561.95,0,0,4.3
1939307.135,0,0,5.2
1906228.882,0,0,4.85
1864864.625,0,0,3.75
1799316.878,0,0,5
1787951.599,0,0,4.65
1752934.359,0,0,4.5
1712711.941,0,0,3.6
1643627.88,0,0,3.95
1655034.982,0,0,7.9
1756466.618,0,0,6.3
1897772.901,0,0,5.95
2064884.472,0,0,4.85
2117451.335,5,0,3.05
2140530.877,0,0,3.4
2098478.403,0,0,5.2
2141282.692,0,0,8.1
2127632.442,0,0,11.5
2112424.252,0,0,9
2090628.646,0,0,5.55
2102177.318,0,0,8.25
2165776.622,0,0,13.5
2206868.778,0,0.1,16.2
2135132.443,0,0.1,15.3
2028186.14,0,0.3,19.1
1916347.856,0,0.3,21.6
1873235.546,0,0.3,20.7
1811783.365,0,0.3,16.05
1730695.627,0,0.4,18
1731083.316,0,0.2,21.25
1715350.284,0,0.3,16.55
1681813.237,0,0.2,18.4
1621558.602,0,0.3,18.75
1647507.484,0,0.1,16.2
1768131.779,0,0.1,16.35
